date,open,high,low,close,adj_close,volume
3/11/2005,79.24308777,109.5500031,111.5500031,108.9100037,111.3399963,2983800
3/14/2005,79.56859589,110,110.75,109.0599976,109.8099976,2701400
3/15/2005,79.95921326,110.5400009,111.9000015,110.4300003,111.6999969,3080300
3/16/2005,79.54689026,109.9700012,110.5800018,108.5999985,110.5400009,3160100
3/17/2005,79.59751892,110.0400009,111.2399979,108.4499969,109.9700012,5540200
3/18/2005,79.55410004,109.9800034,110.6999969,109.5599976,109.6999969,7553500
3/21/2005,79.27922058,109.5999985,110.8399963,109.5999985,110.0999985,3944600
3/22/2005,78.11465454,107.9899979,110.9899979,107.6699982,109.75,5687400
3/23/2005,78.16527557,108.0599976,108.9199982,107.5,107.5999985,4449100
3/24/2005,78.41116333,108.4000015,109.5,108.3700027,108.7799988,2915600
3/28/2005,79.3371048,109.6800003,109.9899979,108.5500031,108.9499969,2543200
3/29/2005,78.44737244,108.4499969,110.6299973,108.3700027,109.6800003,3836100
3/30/2005,79.42392731,109.8000031,109.9000015,108.1900024,108.1900024,4057300
3/31/2005,79.56134033,109.9899979,110.2600021,109.0599976,110,3790100
4/1/2005,79.06227112,109.3000031,111.0599976,108.3099976,110.7399979,5625700
4/4/2005,80.29193878,111,111.3300018,108.5800018,109.1500015,6114600
4/5/2005,79.9953537,110.5899963,111.9000015,110.4499969,110.9499969,4656300
4/6/2005,81.37696075,112.5,112.6399994,110.7900009,110.9499969,5276800
4/7/2005,82.12202454,113.5299988,113.9300003,112.1999969,112.5,4735900
4/8/2005,81.6880188,112.9300003,114.25,112.7799988,113.25,3801400
4/11/2005,81.0803833,112.0899963,113.8099976,111.9199982,113.4499969,3599100
4/12/2005,80.84169769,111.7600021,112.4700012,110.1399994,111.5500031,5921800
4/13/2005,79.57584381,110.0100021,112,109.7300034,111.7699966,4684700
4/14/2005,78.47634125,108.4899979,110.4000015,108.4300003,110.1500015,4350600
4/15/2005,77.02957916,106.4899979,109.0699997,106.4899979,108.3499985,5600500
4/18/2005,77.65170288,107.3499985,107.9899979,106.3000031,106.6900024,4059600
4/19/2005,77.17427826,106.6900024,107.9199982,106.6600037,107.5,4613900
4/20/2005,75.46717072,104.3300018,106.8899994,104.0699997,106.6999969,5484400
4/21/2005,76.0313797,105.1100006,106.9199982,103.4499969,105.5,7066500
4/22/2005,75.54559326,104.1900024,105.75,103.2099991,105,7265000
4/25/2005,76.66946411,105.7399979,106.4100037,104.5500031,105.5,3600400
4/26/2005,76.65497589,105.7200012,107.1900024,105.1200027,105.7399979,3703400
4/27/2005,78.13410187,107.7600021,108.1600037,105.2099991,105.6699982,3631200
4/28/2005,77.02478027,106.2300034,107.8899994,105.9400024,106.9499969,3574100
4/29/2005,77.43077087,106.7900009,107.2799988,104.5,107.1299973,4585000
5/2/2005,75.74138641,104.4599991,105.8499985,103,105.8499985,6286100
5/3/2005,75.67608643,104.3700027,104.9000015,103.0500031,103.5500031,5618200
5/4/2005,77.05373383,106.2699966,107.1500015,104.6500015,105.1999969,5198800
5/5/2005,76.35044861,105.3000031,107.2900009,104.5599976,106.8000031,4722400
5/6/2005,75.90088654,104.6800003,106.1800003,104.5,105.75,3804000
5/9/2005,76.49546814,105.5,105.5400009,104.2200012,104.4800034,3631100
5/10/2005,74.03743744,102.1100006,104.2699966,101.8099976,104.2200012,6365100
5/11/2005,75.22653198,103.75,104.0400009,101.9700012,102.5500031,5132100
5/12/2005,72.66702271,100.2200012,103.7300034,99.33999634,103.5,7465400
5/13/2005,70.92684174,97.81999969,100.1999969,96.41999817,99.5,9189000
5/16/2005,71.36193085,98.41999817,99.29000092,97.80000305,98,4893300
5/17/2005,71.3111496,98.34999847,98.62000275,97.25,97.5,5396100
5/18/2005,72.20301819,99.58000183,99.97000122,98.5,99,5248400
5/19/2005,72.59454346,100.1200027,100.5,99.23000336,100,3734500
5/20/2005,73.29059601,101.0800018,101.1999969,99.55000305,99.94999695,3495500
5/23/2005,73.00782013,100.6900024,101.6500015,100.3000031,101.6500015,3706200
5/24/2005,72.20301819,99.58000183,100.5,98.69999695,100.5,4118500
5/25/2005,70.51357269,97.25,99.69999695,97.23000336,99.69999695,6690600
5/26/2005,70.04225922,96.59999847,98.16000366,96.04000092,98.05000305,7984100
5/27/2005,69.24467468,95.5,96.97000122,95.16000366,96.94999695,6726800
5/31/2005,70.69483185,97.5,97.56999969,94.75,94.90000153,7687500
6/1/2005,71.52146149,98.63999939,99.77999878,96.70999908,97.40000153,6487000
6/2/2005,70.81811523,97.66999817,98.48000336,97.23000336,98,3975200
6/3/2005,70.54981995,97.30000305,98.12999725,96.66000366,97.55000305,3299100
6/6/2005,71.36193085,98.41999817,98.77999878,96.43000031,96.75,3379800
6/7/2005,71.34741211,98.40000153,99.47000122,98.27999878,99.19999695,3734200
6/8/2005,71.3111496,98.34999847,99.23000336,98.34999847,99.09999847,3018700
6/9/2005,72.47127533,99.94999695,100.3600006,98.61000061,99.19999695,4091100
6/10/2005,71.81867218,99.05000305,100.1299973,98.68000031,100.1299973,1879100
6/13/2005,71.97098541,99.26000214,99.76999664,98.41000366,98.77999878,4434400
6/14/2005,71.27490997,98.30000305,100.1699982,98.25,99.65000153,4687900
6/15/2005,71.92021179,99.19000244,99.62999725,97.80999756,98.59999847,6113000
6/16/2005,74.42897797,102.6500015,103.3000031,98.69999695,100,10327600
6/17/2005,75.26281738,103.8000031,104.2399979,102.3000031,102.75,6254200
6/20/2005,74.86402893,103.25,103.8499985,102.6600037,103.25,3718500
6/21/2005,74.42171478,102.6399994,103.8000031,102.5599976,103,3704600
6/22/2005,74.2984848,102.4700012,103.4000015,102.3399963,102.6699982,3564400
6/23/2005,73.97219086,102.0199966,103.1299973,101.9000015,102.3000031,3857400
6/24/2005,75.16856384,103.6699982,103.6999969,101.9300003,102.1600037,5214000
6/27/2005,74.82776642,103.1999969,103.6900024,102,103,3099900
6/28/2005,75.37883759,103.9599991,104.9599991,103.3000031,103.5,3477400
6/29/2005,74.53048706,102.7900009,104.4499969,102.6100006,104.2099991,3225900
6/30/2005,73.97219086,102.0199966,103.4599991,101.7699966,103.2799988,3062500
